"","difRt","difBT","difBD","Rprom","BTprom","BDprom"
"Rlast_1991_2007",-1.02166772703526,-0.936429018880193,0.0198459847531468,113722.941176471,1038561.17647059,502012.941176471
"Rlast_2008_2012",0.437578586350805,0.25546250842237,0.491818279463282,408786,2701140,968256
"Rlast_2013_2021",-0.277111437954686,0.0904527158427931,0.494288484355712,180023.444444444,2211100,972985.555555556
"Rlast_2013_2020",-0.322936543957028,0.100621617995617,0.523716184986485,173787.625,2236100,1033102.5
"Rlast_historico",-0.273300197894355,-0.220969606240675,0.310803587686271,180562.290322581,1647133.5483871,713947.419354839
