"","difRt","difBT","difBD","Rprom","BTprom","BDprom"
"Rlast_1991_2007",-0.93885298994313,-0.921026559829374,-0.0142610340037588,113881.764705882,1041422.35294118,503923.529411765
"Rlast_2008_2012",0.46096382012597,0.261542323081693,0.474405671495061,409620,2709160,972442
"Rlast_2013_2021",-0.229892477244328,0.0981924180728142,0.478461548927216,179527.888888889,2218433.33333333,980004.444444444
"Rlast_2013_2020",-0.266281037828569,0.109127039348077,0.507893314783011,174368.875,2245662.5,1038616.25
"Rlast_historico",-0.222320419454767,-0.210925205229316,0.287858078695849,180640.032258065,1652125.16129032,717708.064516129
